x,y,z,yaw,velocity,change_flag
94563.1406,78095.8438,35.5646,-0.2364,0,0
94563.6719,78095.7109,35.5451,-0.2365,1.7575,0
94564.1953,78095.5938,35.5171,-0.2371,2.6035,0
94564.6953,78095.4609,35.5334,-0.2396,2.5868,0
94565.1797,78095.3281,35.5350,-0.2404,2.7174,0
94565.7344,78095.2031,35.5397,-0.2383,3.0403,0
94566.2344,78095.0859,35.5238,-0.2389,2.4957,0
94566.7500,78094.9688,35.5092,-0.2387,1.6995,0
94567.3047,78094.8047,35.5694,-0.2391,3.1204,0
94567.8047,78094.6953,35.5477,-0.2393,2.8365,0
94568.2891,78094.5625,35.5750,-0.2389,2.7943,0
94568.8125,78094.4531,35.5406,-0.2389,3.1165,0
94569.3125,78094.3203,35.5722,-0.2382,3.3332,0
94569.8047,78094.2266,35.5837,-0.2377,3.0611,0
94570.3359,78094.0547,35.6093,-0.2395,4.3969,0
94570.8828,78093.8906,35.6228,-0.2418,3.7405,0
94571.4219,78093.7734,35.6134,-0.2453,3.4427,0
94572.0078,78093.6719,35.6070,-0.2458,3.6267,0
94572.5547,78093.5312,35.5694,-0.2479,5.1815,0
94573.1250,78093.3438,35.6088,-0.2483,3.9634,0
94573.6172,78093.2422,35.5870,-0.2479,3.4225,0
94574.1797,78093.0703,35.5948,-0.2466,3.4619,0
94574.7266,78092.9375,35.5848,-0.2437,4.3945,0
94575.2500,78092.8047,35.5853,-0.2413,4.2146,0
94575.8203,78092.6875,35.5560,-0.2386,3.2516,0
94576.3594,78092.5703,35.5750,-0.2397,4.9060,0
94576.8672,78092.4297,35.5692,-0.2394,4.0548,0
94577.4922,78092.2422,35.6016,-0.2393,5.6282,0
94578.0234,78092.1484,35.5492,-0.2379,3.4903,0
94578.5547,78091.9922,35.5468,-0.2405,3.0163,0
94579.0859,78091.8828,35.5366,-0.2390,3.8000,0
94579.6016,78091.7578,35.5711,-0.2396,4.3192,0
94580.2031,78091.6094,35.5512,-0.2410,4.3204,0
94580.7109,78091.4688,35.5582,-0.2418,3.4483,0
94581.2578,78091.3203,35.5726,-0.2429,4.5174,0
94581.7891,78091.2031,35.5657,-0.2417,3.4366,0
94582.2812,78091.0938,35.5572,-0.2415,2.2987,0
94582.7734,78091.0000,35.4582,-0.2434,3.4425,0
94583.3047,78090.8594,35.5442,-0.2444,3.3744,0
94583.8516,78090.6797,35.5622,-0.2431,3.8623,0
94584.4141,78090.5469,35.5721,-0.2419,3.2634,0
94584.9219,78090.4375,35.5840,-0.2414,3.4989,0
94585.4688,78090.2734,35.5776,-0.2417,4.9933,0
