waypoint_id,x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag,traffic_light_detection,target_traffic_light_camera,start,goal,stop_point,detection_range_front_l,detection_range_front_r,detection_range_rear_l,detection_range_rear_r,fatal_area_left,fatal_area_right,cargo_left,cargo_right,obstacle_detection_distance_change,winker_point,obstacle_sensor_range,mode_change,attention_broadcast,inter_vehicular_distance,minimum_target_point_distance,target_point_ratio,voxel_leaf_size,local_max_slope,preliminary_output,route_change,pause_point,pause_time,cross_point,cross_point_detection_area_left,cross_point_detection_area_right,cross_point_detection_area_front,cross_point_detection_area_back
0,94625.898,78080.2554,35.6325,-0.1507,2,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
1,94626.1899,78080.2111,35.6404,-0.2225,2,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
2,94627.1653,78079.9904,35.6413,-0.2225,2,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
3,94628.1406,78079.7697,35.6423,-0.2225,2,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
4,94629.2285,78079.5372,35.6405,-0.3598,2,0,0,0,0,0,0,NULL,0,0,0,0,1,0,0,0,0,0,0,3,2,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
5,94630.1314,78079.2063,35.6436,-0.3598,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
6,94630.9914,78078.7723,35.6467,-0.3598,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
7,94631.4549,78078.4995,35.648,-0.4621,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
8,94631.9288,78078.0986,35.6454,-0.5349,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
9,94632.2437,78077.8755,35.6445,-1.0288,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
10,94632.3463,78077.7051,35.6423,-1.1056,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
11,94632.5935,78077.1446,35.6359,-1.3071,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
12,94632.6887,78076.8795,35.637,-1.7146,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
13,94632.6591,78076.3716,35.6375,-2.7562,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
14,94632.2653,78076.2119,35.6375,-2.6764,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
15,94632.0078,78076.0826,35.6374,-2.6662,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
16,94631.7124,78075.9306,35.6363,-2.136,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
17,94631.4894,78075.5513,35.6356,-2.1572,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
18,94631.2436,78075.2098,35.6363,-2.0748,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
19,94631.0093,78074.785,35.6439,-2.3213,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,1,0,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
20,94630.7786,78074.5042,35.6446,-1.8766,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,1,0,12,1,0,0,1.75,1.75,0,0,0,0,1,5,0,0,0,0,0
21,94630.5861,78073.9022,35.6475,-1.9794,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,1,0,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
22,94630.3378,78073.1914,35.6433,-1.6867,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,2,0,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
23,94630.2038,78072.4121,35.707,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
24,94629.9307,78071.4514,35.6581,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,12,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
25,94629.6575,78070.4907,35.6091,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
26,94629.3843,78069.5299,35.5601,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
27,94629.1112,78068.5692,35.5111,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
28,94628.838,78067.6085,35.4622,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
29,94628.5648,78066.6478,35.4132,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
30,94628.2917,78065.6871,35.3642,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,1,5,0,0,0,0,0
31,94628.0185,78064.7263,35.3152,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
32,94627.7453,78063.7656,35.2662,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,1,30,30,3,0
33,94627.5052,78062.8366,35.2194,-1.8478,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
34,94627.2159,78062.0133,35.1697,-1.9296,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
35,94627.0954,78061.6921,35.1355,-2.0063,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
36,94626.9178,78061.3105,35.1342,-2.6674,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
37,94626.651,78061.1735,35.1305,-2.7501,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
38,94626.3756,78061.0599,35.2405,-2.863,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
39,94626.029,78060.9641,35.2349,3.1025,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
40,94625.6324,78060.9801,35.1219,3.0334,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
41,94625.1445,78061.0331,35.1228,2.9295,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
42,94624.5642,78061.158,35.2306,2.9102,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
43,94623.5909,78061.3873,35.2295,2.9102,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
44,94622.6175,78061.6167,35.2284,2.9102,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
45,94621.6442,78061.846,35.2273,2.9102,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
46,94620.7128,78062.0654,35.2263,2.8911,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
47,94619.744,78062.3133,35.2283,2.8911,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
48,94618.7752,78062.5612,35.2304,2.8911,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
49,94617.8065,78062.8091,35.2324,2.8911,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
50,94616.8377,78063.0571,35.2344,2.8911,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
51,94615.8689,78063.305,35.2365,2.8911,2,0,0,0,0,0,0,NULL,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0
