waypoint_id,x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag,traffic_light_detection,target_traffic_light_camera,start,goal,stop_point,detection_range_front_l,detection_range_front_r,detection_range_rear_l,detection_range_rear_r,fatal_area_left,fatal_area_right,cargo_left,cargo_right,obstacle_detection_distance_change,winker_point,obstacle_sensor_range,mode_change,attention_broadcast,inter_vehicular_distance,minimum_target_point_distance,target_point_ratio,voxel_leaf_size,local_max_slope,preliminary_output,route_change,pause_point,pause_time,cross_point,cross_point_detection_area_left,cross_point_detection_area_right,cross_point_detection_area_front,cross_point_detection_area_back,object_detection_intersect,vehicle_waypoint_distance
1,94604.4375,78085.5859,35.7642,-0.228,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
2,94604.9688,78085.4219,35.756,-0.2265,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
3,94605.4688,78085.2969,35.7698,-0.2189,3,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
4,94605.9766,78085.1797,35.7487,-0.219,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
5,94606.4844,78085.1016,35.7682,-0.2267,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
6,94607.0153,78085.0425,35.7743,-0.2247,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
7,94607.5153,78084.9331,35.7702,-0.2257,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
8,94608.0391,78084.6875,35.783,-0.2207,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
9,94608.5547,78084.5625,35.7609,-0.2111,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
10,94609.0156,78084.3594,35.7942,-0.2106,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
11,94609.5469,78084.3203,35.778,-0.2099,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
12,94610.0625,78084.1719,35.785,-0.2131,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
13,94610.5703,78084.0312,35.7903,-0.2168,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
14,94611.0625,78083.9219,35.7804,-0.2154,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
15,94611.5547,78083.8203,35.7931,-0.2146,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
16,94612.0547,78083.6875,35.791,-0.2098,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
17,94612.5625,78083.5391,35.7786,-0.2088,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
18,94613.1016,78083.4141,35.7897,-0.2061,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
19,94613.6094,78083.2734,35.8148,-0.1997,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
20,94614.1875,78083.1797,35.8039,-0.207,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
21,94614.6953,78083.0469,35.8097,-0.2064,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
22,94615.2031,78082.8906,35.8158,-0.2084,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
23,94615.7031,78082.7969,35.796,-0.2071,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
24,94616.2031,78082.6875,35.7913,-0.2081,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,10
