waypoint_id,x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag,traffic_light_detection,target_traffic_light_camera,start,goal,stop_point,detection_range_front_l,detection_range_front_r,detection_range_rear_l,detection_range_rear_r,fatal_area_left,fatal_area_right,cargo_left,cargo_right,obstacle_detection_distance_change,winker_point,obstacle_sensor_range,mode_change,attention_broadcast,inter_vehicular_distance,minimum_target_point_distance,target_point_ratio,voxel_leaf_size,local_max_slope,preliminary_output,route_change,pause_point,pause_time,cross_point,cross_point_detection_area_left,cross_point_detection_area_right,cross_point_detection_area_front,cross_point_detection_area_back,object_detection_intersect,vehicle_waypoint_distance
1,94613.1016,78083.4141,35.7897,-0.2061,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
2,94613.6094,78083.2734,35.8148,-0.1997,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
3,94614.1875,78083.1797,35.8039,-0.207,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
4,94614.6953,78083.0469,35.8097,-0.2064,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
5,94615.2031,78082.8906,35.8158,-0.2084,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
6,94615.7031,78082.7969,35.796,-0.2071,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
7,94616.2031,78082.6875,35.7913,-0.2081,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
8,94616.7031,78082.5625,35.7992,-0.2137,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
9,94617.2031,78082.4375,35.7869,-0.2115,2,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
10,94617.7344,78082.2969,35.789,-0.2169,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
11,94618.2422,78082.1719,35.8025,-0.2208,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
12,94618.75,78082.0469,35.7968,-0.2187,5,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1.5
