waypoint_id,x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag,traffic_light_detection,target_traffic_light_camera,start,goal,stop_point,detection_range_front_l,detection_range_front_r,detection_range_rear_l,detection_range_rear_r,fatal_area_left,fatal_area_right,cargo_left,cargo_right,obstacle_detection_distance_change,winker_point,obstacle_sensor_range,mode_change,attention_broadcast,inter_vehicular_distance,minimum_target_point_distance,target_point_ratio,voxel_leaf_size,local_max_slope,preliminary_output,route_change,pause_point,pause_time,cross_point,cross_point_detection_area_left,cross_point_detection_area_right,cross_point_detection_area_front,cross_point_detection_area_back,vehicle_waypoint_distance
1,94239.1797,77247.2188,36.0418,1.2808,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
2,94239.3594,77247.7188,36.0368,1.3091,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
3,94239.5,77248.2188,36.0459,1.3342,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
4,94239.625,77248.7109,36.0406,1.3453,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
5,94239.7656,77249.1953,36.0225,1.3476,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
6,94239.8984,77249.7422,36.0137,1.336,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
7,94240.0391,77250.2422,36.0332,1.3474,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
8,94240.1875,77250.7734,36.0105,1.3636,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
9,94240.2656,77251.2812,36.0118,1.373,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
10,94240.3828,77251.7891,36.0149,1.3705,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
11,94240.5078,77252.3125,36.0027,1.3602,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
12,94240.6094,77252.8594,36.0253,1.3641,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
13,94240.7266,77253.3672,36.0108,1.3608,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
14,94240.8594,77253.8672,36.0152,1.3548,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
15,94240.9844,77254.375,35.9994,1.3515,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
16,94241.1328,77254.8906,35.9876,1.3511,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,1.5
17,94241.2344,77255.4375,35.9856,1.3587,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
18,94241.3516,77255.9297,35.9889,1.3571,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
19,94241.4922,77256.4219,35.9728,1.3577,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
20,94241.6094,77256.9141,35.9733,1.363,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
21,94241.7109,77257.4141,35.9741,1.3626,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,2,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
22,94241.8203,77257.9141,35.9704,1.3647,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
23,94241.9375,77258.4141,35.9841,1.3647,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
24,94242.0391,77258.9062,35.9695,1.3694,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
25,94242.1562,77259.4141,35.9754,1.3722,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
26,94242.2812,77259.9062,35.9746,1.3698,1,0,0,0,0,0,0,NULL,0,0,0,0.5,1,0,0,0,0,0,0,5,0,13,1,0,0,1.13,1.13,0,0,0,0,0,0,0,0,0,0,0,1.5
